ID,Meal,Nutrient,Amount,Date
H39,Breakfast,Protein,26.9,2024-01-01
H39,Lunch,Protein,29.6,2024-01-02
H23,Dinner,Protein,25.8,2024-01-03
H24,Dinner,Calcium,330.3,2024-01-04
H2,Lunch,Calcium,343.9,2024-01-05
H44,Breakfast,Iron,3.0,2024-01-06
H27,Dinner,Protein,23.7,2024-01-07
H16,Dinner,Calcium,277.7,2024-01-08
H47,Lunch,Protein,25.4,2024-01-09
H3,Breakfast,Protein,24.9,2024-01-10
H7,Breakfast,Iron,2.3,2024-01-11
H20,Dinner,Vitamin_D,10.7,2024-01-12
H7,Breakfast,Vitamin_D,11.8,2024-01-13
H2,Lunch,Calcium,263.4,2024-01-14
H42,Lunch,Iron,2.7,2024-01-15
H8,Lunch,Protein,25.5,2024-01-16
H40,Breakfast,Vitamin_D,11.3,2024-01-17
H24,Lunch,Iron,3.0,2024-01-18
H45,Breakfast,Iron,2.7,2024-01-19
H35,Dinner,Iron,2.8,2024-01-20
H5,Lunch,Protein,27.0,2024-01-21
H9,Lunch,Iron,2.6,2024-01-22
H48,Dinner,Protein,28.6,2024-01-23
H44,Lunch,Protein,28.7,2024-01-24
H35,Breakfast,Protein,26.1,2024-01-25
H1,Breakfast,Calcium,280.6,2024-01-26
H14,Dinner,Protein,17.1,2024-01-27
H42,Breakfast,Protein,27.5,2024-01-28
H32,Dinner,Iron,2.5,2024-01-29
H30,Breakfast,Protein,19.0,2024-01-30
H39,Breakfast,Protein,22.6,2024-01-31
H32,Dinner,Protein,27.2,2024-02-01
H22,Lunch,Calcium,315.0,2024-02-02
H6,Lunch,Calcium,334.7,2024-02-03
H11,Lunch,Protein,24.1,2024-02-04
H33,Breakfast,Iron,2.7,2024-02-05
H27,Lunch,Iron,2.6,2024-02-06
H39,Lunch,Vitamin_D,11.3,2024-02-07
H27,Breakfast,Calcium,288.1,2024-02-08
H44,Dinner,Protein,24.1,2024-02-09
H32,Breakfast,Vitamin_D,11.3,2024-02-10
H12,Lunch,Protein,24.8,2024-02-11
H2,Dinner,Iron,2.4,2024-02-12
H32,Breakfast,Iron,2.5,2024-02-13
H19,Lunch,Calcium,225.0,2024-02-14
H6,Dinner,Vitamin_D,12.5,2024-02-15
H11,Dinner,Iron,2.3,2024-02-16
H34,Lunch,Calcium,341.5,2024-02-17
H11,Dinner,Vitamin_D,10.6,2024-02-18
H6,Breakfast,Protein,26.1,2024-02-19
H20,Dinner,Vitamin_D,11.0,2024-02-20
H19,Dinner,Vitamin_D,10.6,2024-02-21
H41,Breakfast,Vitamin_D,11.6,2024-02-22
H1,Dinner,Vitamin_D,10.8,2024-02-23
H25,Lunch,Protein,30.6,2024-02-24
H7,Lunch,Vitamin_D,11.4,2024-02-25
H49,Lunch,Iron,2.6,2024-02-26
H9,Breakfast,Protein,27.3,2024-02-27
H19,Dinner,Vitamin_D,11.3,2024-02-28
H24,Dinner,Iron,2.6,2024-02-29
H8,Lunch,Vitamin_D,11.3,2024-03-01
H29,Lunch,Vitamin_D,10.3,2024-03-02
H46,Lunch,Calcium,331.5,2024-03-03
H41,Breakfast,Vitamin_D,12.3,2024-03-04
H33,Lunch,Iron,2.4,2024-03-05
H8,Dinner,Protein,21.7,2024-03-06
H17,Breakfast,Vitamin_D,10.8,2024-03-07
H22,Lunch,Calcium,277.4,2024-03-08
H38,Lunch,Iron,2.8,2024-03-09
H27,Lunch,Iron,2.5,2024-03-10
H30,Breakfast,Vitamin_D,11.9,2024-03-11
H48,Dinner,Vitamin_D,11.4,2024-03-12
H35,Breakfast,Vitamin_D,10.9,2024-03-13
H31,Dinner,Vitamin_D,11.7,2024-03-14
H33,Dinner,Iron,2.8,2024-03-15
H3,Lunch,Iron,2.4,2024-03-16
H42,Dinner,Calcium,318.9,2024-03-17
H24,Lunch,Vitamin_D,12.8,2024-03-18
H47,Lunch,Protein,25.2,2024-03-19
H2,Lunch,Iron,2.2,2024-03-20
H40,Breakfast,Iron,2.2,2024-03-21
H29,Lunch,Protein,29.1,2024-03-22
H26,Dinner,Calcium,315.5,2024-03-23
H45,Breakfast,Vitamin_D,14.9,2024-03-24
H46,Lunch,Vitamin_D,9.4,2024-03-25
H22,Dinner,Iron,3.1,2024-03-26
H22,Lunch,Calcium,285.8,2024-03-27
H37,Breakfast,Vitamin_D,12.1,2024-03-28
H44,Breakfast,Protein,32.2,2024-03-29
H40,Breakfast,Calcium,355.3,2024-03-30
H42,Lunch,Protein,23.0,2024-01-01
H28,Lunch,Protein,27.6,2024-01-02
H26,Breakfast,Calcium,276.8,2024-01-03
H1,Dinner,Calcium,349.8,2024-01-04
H32,Lunch,Calcium,328.4,2024-01-05
H1,Breakfast,Protein,28.8,2024-01-06
H5,Lunch,Iron,2.0,2024-01-07
H16,Dinner,Iron,2.4,2024-01-08
H22,Breakfast,Iron,2.4,2024-01-09
H26,Lunch,Vitamin_D,12.9,2024-01-10
H21,Dinner,Vitamin_D,10.7,2024-01-11
H23,Lunch,Calcium,262.6,2024-01-12
H5,Lunch,Vitamin_D,12.4,2024-01-13
H32,Breakfast,Vitamin_D,9.6,2024-01-14
H5,Breakfast,Vitamin_D,11.6,2024-01-15
H2,Breakfast,Vitamin_D,11.1,2024-01-16
H32,Dinner,Vitamin_D,9.1,2024-01-17
H33,Breakfast,Iron,2.9,2024-01-18
H43,Breakfast,Vitamin_D,11.4,2024-01-19
H10,Dinner,Vitamin_D,10.9,2024-01-20
H29,Breakfast,Vitamin_D,11.3,2024-01-21
H17,Lunch,Vitamin_D,10.4,2024-01-22
H29,Lunch,Calcium,281.3,2024-01-23
H50,Breakfast,Protein,23.9,2024-01-24
H29,Breakfast,Iron,2.5,2024-01-25
H37,Breakfast,Vitamin_D,11.5,2024-01-26
H35,Breakfast,Protein,19.6,2024-01-27
H39,Dinner,Calcium,263.4,2024-01-28
H32,Breakfast,Vitamin_D,12.6,2024-01-29
H25,Dinner,Iron,2.4,2024-01-30
H30,Breakfast,Iron,2.9,2024-01-31
H22,Breakfast,Protein,25.1,2024-02-01
H19,Breakfast,Vitamin_D,10.7,2024-02-02
H14,Dinner,Vitamin_D,10.4,2024-02-03
H19,Lunch,Protein,28.4,2024-02-04
H21,Breakfast,Protein,31.4,2024-02-05
H16,Breakfast,Protein,25.0,2024-02-06
H39,Lunch,Protein,22.3,2024-02-07
H5,Dinner,Protein,30.4,2024-02-08
H47,Breakfast,Calcium,312.1,2024-02-09
H44,Breakfast,Iron,2.4,2024-02-10
H40,Lunch,Iron,2.9,2024-02-11
H50,Dinner,Calcium,301.3,2024-02-12
H38,Dinner,Vitamin_D,9.8,2024-02-13
H48,Breakfast,Iron,2.4,2024-02-14
H7,Breakfast,Iron,2.6,2024-02-15
H4,Lunch,Vitamin_D,9.0,2024-02-16
H26,Dinner,Protein,29.7,2024-02-17
H3,Breakfast,Iron,2.9,2024-02-18
H20,Breakfast,Protein,19.3,2024-02-19
H41,Dinner,Iron,2.2,2024-02-20
H49,Breakfast,Vitamin_D,11.8,2024-02-21
H33,Lunch,Iron,2.5,2024-02-22
H11,Breakfast,Vitamin_D,12.0,2024-02-23
H35,Dinner,Vitamin_D,10.3,2024-02-24
H1,Breakfast,Calcium,271.0,2024-02-25
H3,Dinner,Iron,2.5,2024-02-26
H24,Breakfast,Vitamin_D,10.4,2024-02-27
H28,Lunch,Vitamin_D,12.0,2024-02-28
H28,Breakfast,Iron,2.0,2024-02-29
H36,Dinner,Calcium,351.8,2024-03-01
H48,Breakfast,Iron,2.1,2024-03-02
H46,Dinner,Iron,2.5,2024-03-03
H5,Dinner,Iron,2.7,2024-03-04
H2,Lunch,Vitamin_D,11.1,2024-03-05
H5,Dinner,Vitamin_D,12.0,2024-03-06
H33,Lunch,Iron,2.6,2024-03-07
H11,Breakfast,Calcium,299.6,2024-03-08
H25,Lunch,Protein,25.8,2024-03-09
H34,Breakfast,Protein,25.8,2024-03-10
H1,Breakfast,Vitamin_D,11.2,2024-03-11
H5,Dinner,Iron,2.4,2024-03-12
H38,Dinner,Iron,3.0,2024-03-13
H10,Lunch,Protein,26.8,2024-03-14
H17,Breakfast,Calcium,280.3,2024-03-15
H45,Breakfast,Vitamin_D,10.2,2024-03-16
H1,Breakfast,Vitamin_D,9.5,2024-03-17
H8,Dinner,Calcium,338.3,2024-03-18
H34,Lunch,Calcium,284.5,2024-03-19
H1,Lunch,Vitamin_D,11.9,2024-03-20
H5,Lunch,Calcium,312.4,2024-03-21
H47,Dinner,Protein,29.0,2024-03-22
H37,Breakfast,Calcium,271.1,2024-03-23
H38,Lunch,Calcium,320.6,2024-03-24
H50,Lunch,Calcium,264.5,2024-03-25
H34,Breakfast,Calcium,238.8,2024-03-26
H33,Dinner,Vitamin_D,11.2,2024-03-27
H17,Breakfast,Iron,1.9,2024-03-28
H4,Lunch,Vitamin_D,11.5,2024-03-29
H20,Breakfast,Calcium,317.6,2024-03-30
H6,Breakfast,Calcium,333.7,2024-01-01
H48,Dinner,Protein,20.7,2024-01-02
H47,Breakfast,Protein,26.1,2024-01-03
H40,Breakfast,Protein,22.2,2024-01-04
H32,Dinner,Protein,22.0,2024-01-05
H19,Breakfast,Iron,2.7,2024-01-06
H18,Lunch,Iron,2.5,2024-01-07
H5,Breakfast,Vitamin_D,10.5,2024-01-08
H26,Lunch,Calcium,288.8,2024-01-09
H27,Breakfast,Calcium,275.4,2024-01-10
H47,Breakfast,Calcium,325.5,2024-01-11
H49,Dinner,Iron,2.3,2024-01-12
H15,Dinner,Protein,24.9,2024-01-13
H28,Dinner,Calcium,301.7,2024-01-14
H24,Lunch,Iron,2.6,2024-01-15
H23,Lunch,Protein,22.6,2024-01-16
H47,Breakfast,Calcium,345.7,2024-01-17
H15,Breakfast,Protein,17.6,2024-01-18
H37,Lunch,Protein,21.8,2024-01-19
H26,Lunch,Vitamin_D,10.3,2024-01-20
H25,Breakfast,Iron,3.0,2024-01-21
H3,Breakfast,Iron,2.8,2024-01-22
H18,Dinner,Vitamin_D,13.4,2024-01-23
H8,Breakfast,Vitamin_D,12.0,2024-01-24
H19,Lunch,Iron,2.7,2024-01-25
H34,Dinner,Vitamin_D,10.7,2024-01-26
H45,Lunch,Iron,2.3,2024-01-27
H48,Lunch,Protein,21.2,2024-01-28
H30,Dinner,Vitamin_D,8.5,2024-01-29
H36,Dinner,Calcium,320.5,2024-01-30
H2,Dinner,Vitamin_D,12.8,2024-01-31
H2,Dinner,Protein,24.8,2024-02-01
H8,Lunch,Protein,23.7,2024-02-02
H26,Lunch,Vitamin_D,11.5,2024-02-03
H19,Breakfast,Vitamin_D,10.5,2024-02-04
H26,Lunch,Vitamin_D,10.7,2024-02-05
H38,Breakfast,Calcium,298.0,2024-02-06
H43,Dinner,Iron,2.1,2024-02-07
H6,Lunch,Vitamin_D,10.4,2024-02-08
H37,Breakfast,Iron,2.7,2024-02-09
H9,Dinner,Protein,17.6,2024-02-10
H30,Dinner,Iron,2.3,2024-02-11
H5,Lunch,Vitamin_D,11.2,2024-02-12
H12,Dinner,Protein,25.3,2024-02-13
H1,Lunch,Vitamin_D,10.9,2024-02-14
H41,Breakfast,Calcium,303.4,2024-02-15
H30,Dinner,Iron,2.3,2024-02-16
H14,Lunch,Calcium,279.6,2024-02-17
H4,Breakfast,Iron,3.0,2024-02-18
H8,Dinner,Vitamin_D,11.8,2024-02-19
H14,Dinner,Iron,2.8,2024-02-20
H15,Breakfast,Iron,2.2,2024-02-21
H17,Breakfast,Protein,27.5,2024-02-22
H40,Dinner,Protein,18.4,2024-02-23
H6,Lunch,Protein,20.6,2024-02-24
H15,Dinner,Iron,2.8,2024-02-25
H33,Lunch,Protein,27.5,2024-02-26
H27,Dinner,Iron,2.8,2024-02-27
H4,Lunch,Calcium,314.4,2024-02-28
H33,Lunch,Calcium,310.0,2024-02-29
H13,Dinner,Protein,28.9,2024-03-01
H5,Breakfast,Protein,23.7,2024-03-02
H4,Breakfast,Calcium,300.8,2024-03-03
H36,Lunch,Protein,24.6,2024-03-04
H27,Breakfast,Vitamin_D,9.2,2024-03-05
H47,Lunch,Calcium,344.9,2024-03-06
H43,Lunch,Iron,2.8,2024-03-07
H43,Breakfast,Vitamin_D,10.1,2024-03-08
H37,Dinner,Calcium,281.9,2024-03-09
H9,Lunch,Protein,28.9,2024-03-10
H29,Lunch,Vitamin_D,10.7,2024-03-11
H26,Lunch,Vitamin_D,10.5,2024-03-12
H23,Breakfast,Iron,2.5,2024-03-13
H40,Dinner,Iron,2.8,2024-03-14
H47,Breakfast,Iron,2.8,2024-03-15
H26,Breakfast,Protein,23.3,2024-03-16
H25,Lunch,Protein,24.8,2024-03-17
H27,Lunch,Protein,27.4,2024-03-18
H17,Dinner,Protein,21.6,2024-03-19
H24,Breakfast,Protein,24.6,2024-03-20
H6,Breakfast,Vitamin_D,12.0,2024-03-21
H43,Lunch,Calcium,279.1,2024-03-22
H28,Lunch,Iron,2.6,2024-03-23
H41,Breakfast,Vitamin_D,11.0,2024-03-24
H22,Dinner,Iron,2.3,2024-03-25
H32,Breakfast,Calcium,272.7,2024-03-26
H23,Dinner,Protein,23.3,2024-03-27
H30,Breakfast,Iron,2.8,2024-03-28
H45,Breakfast,Calcium,309.1,2024-03-29
H1,Lunch,Protein,28.5,2024-03-30
H47,Lunch,Calcium,254.0,2024-01-01
H30,Lunch,Protein,33.4,2024-01-02
H4,Breakfast,Vitamin_D,9.6,2024-01-03
H46,Lunch,Vitamin_D,10.2,2024-01-04
H33,Dinner,Protein,26.5,2024-01-05
H29,Breakfast,Iron,2.3,2024-01-06
H3,Dinner,Protein,32.7,2024-01-07
H47,Breakfast,Protein,25.4,2024-01-08
H33,Dinner,Vitamin_D,10.8,2024-01-09
H14,Lunch,Protein,23.9,2024-01-10
H16,Breakfast,Calcium,280.3,2024-01-11
H48,Lunch,Protein,22.2,2024-01-12
H10,Dinner,Iron,2.6,2024-01-13
H18,Lunch,Iron,2.1,2024-01-14
H47,Breakfast,Vitamin_D,12.0,2024-01-15
H3,Dinner,Protein,23.5,2024-01-16
H12,Breakfast,Iron,2.9,2024-01-17
H34,Breakfast,Vitamin_D,8.8,2024-01-18
H35,Lunch,Calcium,289.3,2024-01-19
H30,Dinner,Calcium,307.7,2024-01-20
H23,Breakfast,Calcium,364.7,2024-01-21
H39,Breakfast,Calcium,320.2,2024-01-22
H22,Dinner,Calcium,300.6,2024-01-23
H45,Lunch,Protein,26.0,2024-01-24
H37,Dinner,Calcium,251.1,2024-01-25
H17,Breakfast,Iron,2.7,2024-01-26
H38,Lunch,Vitamin_D,11.3,2024-01-27
H12,Breakfast,Iron,2.8,2024-01-28
H7,Lunch,Iron,2.4,2024-01-29
H46,Lunch,Vitamin_D,12.1,2024-01-30
H43,Breakfast,Protein,25.4,2024-01-31
H29,Breakfast,Protein,24.3,2024-02-01
H40,Dinner,Vitamin_D,11.2,2024-02-02
H40,Dinner,Calcium,313.0,2024-02-03
H34,Dinner,Protein,19.7,2024-02-04
H47,Dinner,Protein,24.6,2024-02-05
H43,Breakfast,Calcium,285.6,2024-02-06
H9,Breakfast,Vitamin_D,13.3,2024-02-07
H17,Breakfast,Iron,2.7,2024-02-08
H25,Dinner,Protein,29.8,2024-02-09
H3,Lunch,Iron,2.8,2024-02-10
H49,Breakfast,Iron,2.3,2024-02-11
H10,Breakfast,Protein,22.4,2024-02-12
H16,Dinner,Vitamin_D,11.0,2024-02-13
H31,Breakfast,Iron,2.9,2024-02-14
H6,Breakfast,Calcium,331.9,2024-02-15
H25,Dinner,Protein,27.5,2024-02-16
H14,Dinner,Iron,2.5,2024-02-17
H7,Breakfast,Protein,24.9,2024-02-18
H30,Dinner,Protein,27.0,2024-02-19
H18,Dinner,Calcium,340.4,2024-02-20
H24,Dinner,Vitamin_D,12.3,2024-02-21
H45,Lunch,Protein,21.9,2024-02-22
H23,Dinner,Protein,28.8,2024-02-23
H49,Breakfast,Calcium,331.0,2024-02-24
H16,Breakfast,Calcium,255.4,2024-02-25
H44,Lunch,Calcium,321.4,2024-02-26
H35,Dinner,Protein,25.1,2024-02-27
H46,Breakfast,Calcium,377.9,2024-02-28
H44,Dinner,Iron,2.3,2024-02-29
H10,Lunch,Iron,2.6,2024-03-01
H1,Lunch,Iron,1.9,2024-03-02
H3,Breakfast,Calcium,323.6,2024-03-03
H18,Lunch,Iron,2.4,2024-03-04
H25,Breakfast,Iron,2.5,2024-03-05
H49,Breakfast,Vitamin_D,11.2,2024-03-06
H4,Dinner,Calcium,280.5,2024-03-07
H6,Dinner,Vitamin_D,11.8,2024-03-08
H46,Dinner,Calcium,266.3,2024-03-09
H4,Dinner,Vitamin_D,11.4,2024-03-10
H20,Breakfast,Protein,26.9,2024-03-11
H46,Lunch,Protein,23.5,2024-03-12
H34,Breakfast,Calcium,314.1,2024-03-13
H47,Dinner,Iron,2.7,2024-03-14
H9,Dinner,Vitamin_D,12.4,2024-03-15
H17,Dinner,Vitamin_D,10.4,2024-03-16
H35,Lunch,Iron,2.6,2024-03-17
H9,Lunch,Iron,2.0,2024-03-18
H34,Dinner,Iron,2.1,2024-03-19
H29,Breakfast,Protein,22.9,2024-03-20
H25,Lunch,Vitamin_D,10.9,2024-03-21
H25,Breakfast,Protein,24.4,2024-03-22
H34,Dinner,Calcium,326.5,2024-03-23
H26,Lunch,Calcium,271.5,2024-03-24
H37,Breakfast,Vitamin_D,7.5,2024-03-25
H29,Dinner,Calcium,273.9,2024-03-26
H3,Lunch,Vitamin_D,9.4,2024-03-27
H6,Dinner,Vitamin_D,11.5,2024-03-28
H40,Breakfast,Protein,26.2,2024-03-29
H43,Breakfast,Iron,2.7,2024-03-30
H42,Dinner,Protein,23.1,2024-01-01
H43,Breakfast,Calcium,314.4,2024-01-02
H31,Dinner,Calcium,288.9,2024-01-03
H30,Dinner,Protein,22.5,2024-01-04
H18,Lunch,Calcium,275.7,2024-01-05
H2,Breakfast,Calcium,325.9,2024-01-06
H27,Breakfast,Iron,2.1,2024-01-07
H24,Breakfast,Protein,27.2,2024-01-08
H48,Lunch,Protein,25.7,2024-01-09
H32,Lunch,Protein,29.7,2024-01-10
H28,Dinner,Calcium,323.1,2024-01-11
H20,Lunch,Vitamin_D,11.7,2024-01-12
H27,Breakfast,Vitamin_D,11.1,2024-01-13
H1,Lunch,Calcium,279.0,2024-01-14
H18,Lunch,Calcium,283.2,2024-01-15
H12,Dinner,Iron,2.6,2024-01-16
H11,Breakfast,Calcium,334.1,2024-01-17
H11,Lunch,Protein,23.6,2024-01-18
H26,Lunch,Calcium,320.3,2024-01-19
H35,Breakfast,Iron,2.5,2024-01-20
H39,Dinner,Protein,23.4,2024-01-21
H32,Lunch,Protein,27.6,2024-01-22
H14,Lunch,Protein,24.3,2024-01-23
H21,Dinner,Vitamin_D,9.9,2024-01-24
H37,Dinner,Vitamin_D,9.5,2024-01-25
H3,Dinner,Iron,2.3,2024-01-26
H38,Dinner,Calcium,262.5,2024-01-27
H15,Dinner,Vitamin_D,12.4,2024-01-28
H46,Breakfast,Iron,3.0,2024-01-29
H7,Dinner,Iron,1.8,2024-01-30
H44,Breakfast,Vitamin_D,11.2,2024-01-31
H46,Dinner,Iron,2.7,2024-02-01
H30,Lunch,Protein,26.1,2024-02-02
H36,Breakfast,Calcium,277.3,2024-02-03
H48,Breakfast,Vitamin_D,11.1,2024-02-04
H2,Dinner,Vitamin_D,10.3,2024-02-05
H13,Breakfast,Vitamin_D,13.0,2024-02-06
H18,Lunch,Protein,23.8,2024-02-07
H31,Lunch,Vitamin_D,12.2,2024-02-08
H38,Breakfast,Vitamin_D,11.7,2024-02-09
H11,Lunch,Protein,24.2,2024-02-10
H46,Dinner,Vitamin_D,10.6,2024-02-11
H22,Breakfast,Calcium,301.9,2024-02-12
H41,Breakfast,Calcium,276.6,2024-02-13
H33,Breakfast,Vitamin_D,9.6,2024-02-14
H38,Dinner,Calcium,266.8,2024-02-15
H46,Lunch,Calcium,310.6,2024-02-16
H3,Dinner,Calcium,304.0,2024-02-17
H9,Lunch,Iron,2.5,2024-02-18
H50,Lunch,Vitamin_D,10.4,2024-02-19
H20,Lunch,Protein,25.3,2024-02-20
H22,Lunch,Protein,27.9,2024-02-21
H3,Dinner,Iron,2.4,2024-02-22
H18,Lunch,Vitamin_D,9.8,2024-02-23
H23,Breakfast,Iron,2.4,2024-02-24
H46,Breakfast,Vitamin_D,11.4,2024-02-25
H29,Dinner,Iron,2.5,2024-02-26
H18,Lunch,Calcium,364.3,2024-02-27
H19,Lunch,Iron,2.2,2024-02-28
H35,Breakfast,Iron,2.7,2024-02-29
H15,Breakfast,Protein,28.3,2024-03-01
H31,Lunch,Iron,2.5,2024-03-02
H24,Breakfast,Vitamin_D,11.9,2024-03-03
H24,Lunch,Iron,2.7,2024-03-04
H32,Breakfast,Vitamin_D,10.9,2024-03-05
H36,Lunch,Protein,23.9,2024-03-06
H34,Lunch,Protein,27.0,2024-03-07
H12,Dinner,Iron,2.0,2024-03-08
H18,Breakfast,Protein,27.2,2024-03-09
H36,Lunch,Protein,22.8,2024-03-10
H42,Lunch,Calcium,221.7,2024-03-11
H38,Breakfast,Iron,2.6,2024-03-12
H47,Lunch,Vitamin_D,12.8,2024-03-13
H39,Lunch,Iron,2.8,2024-03-14
H25,Breakfast,Vitamin_D,11.8,2024-03-15
H1,Breakfast,Protein,21.3,2024-03-16
H47,Dinner,Protein,24.5,2024-03-17
H16,Lunch,Iron,2.8,2024-03-18
H10,Lunch,Iron,2.0,2024-03-19
H43,Breakfast,Iron,2.4,2024-03-20
H20,Breakfast,Protein,27.5,2024-03-21
H37,Breakfast,Iron,2.9,2024-03-22
H44,Dinner,Protein,29.8,2024-03-23
H20,Lunch,Calcium,369.2,2024-03-24
H2,Breakfast,Protein,21.3,2024-03-25
H37,Breakfast,Protein,26.9,2024-03-26
H5,Breakfast,Iron,3.0,2024-03-27
H20,Breakfast,Calcium,323.2,2024-03-28
H24,Dinner,Protein,25.2,2024-03-29
H47,Dinner,Calcium,312.0,2024-03-30
H23,Lunch,Vitamin_D,10.3,2024-01-01
H21,Breakfast,Protein,26.5,2024-01-02
H8,Breakfast,Vitamin_D,11.8,2024-01-03
H26,Dinner,Calcium,263.4,2024-01-04
H30,Lunch,Calcium,328.9,2024-01-05
H40,Breakfast,Vitamin_D,11.3,2024-01-06
H27,Breakfast,Calcium,305.4,2024-01-07
H31,Lunch,Iron,2.7,2024-01-08
H48,Breakfast,Iron,2.6,2024-01-09
H50,Lunch,Protein,22.7,2024-01-10
H9,Breakfast,Iron,2.4,2024-01-11
H11,Lunch,Iron,2.3,2024-01-12
H38,Lunch,Vitamin_D,12.0,2024-01-13
H18,Breakfast,Iron,2.7,2024-01-14
H23,Dinner,Iron,2.5,2024-01-15
H7,Breakfast,Iron,2.5,2024-01-16
H15,Breakfast,Vitamin_D,12.2,2024-01-17
H19,Breakfast,Iron,3.1,2024-01-18
H33,Breakfast,Vitamin_D,9.7,2024-01-19
H26,Dinner,Protein,23.2,2024-01-20
H8,Lunch,Calcium,279.4,2024-01-21
H3,Breakfast,Calcium,367.6,2024-01-22
H8,Lunch,Calcium,251.1,2024-01-23
H36,Dinner,Protein,25.5,2024-01-24
H48,Dinner,Calcium,325.6,2024-01-25
H43,Breakfast,Iron,2.8,2024-01-26
H23,Dinner,Protein,25.4,2024-01-27
H15,Breakfast,Iron,2.6,2024-01-28
H22,Dinner,Calcium,311.7,2024-01-29
H46,Dinner,Iron,2.2,2024-01-30
H47,Dinner,Vitamin_D,11.9,2024-01-31
H18,Lunch,Iron,2.0,2024-02-01
H13,Lunch,Iron,2.2,2024-02-02
H44,Lunch,Protein,25.2,2024-02-03
H13,Dinner,Protein,27.8,2024-02-04
H42,Lunch,Protein,23.0,2024-02-05
H1,Breakfast,Calcium,307.4,2024-02-06
H28,Breakfast,Calcium,367.5,2024-02-07
H9,Dinner,Calcium,286.1,2024-02-08
H42,Breakfast,Calcium,267.6,2024-02-09
H27,Breakfast,Vitamin_D,11.8,2024-02-10
H39,Lunch,Iron,2.3,2024-02-11
H18,Dinner,Vitamin_D,10.8,2024-02-12
H5,Dinner,Iron,2.2,2024-02-13
H35,Lunch,Iron,2.4,2024-02-14
H48,Breakfast,Protein,24.6,2024-02-15
H35,Dinner,Vitamin_D,9.7,2024-02-16
H13,Breakfast,Iron,2.7,2024-02-17
H25,Lunch,Vitamin_D,11.4,2024-02-18
H3,Lunch,Calcium,276.8,2024-02-19
